id,seed,type,path,file,step_start,step_end,event,n_maps,action,q_value,q_llm
000469,20,off_track,20/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,left,0.932065,0.9
000469,20,off_track,20/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,right,0.95099,0.94
000469,20,off_track,20/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,forward,0.94148,0.85
000469,20,off_track,20/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,pickup,0.94148,0.8
000469,20,off_track,20/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,toggle,0.94148,0.8
000835,87,intermediate,87/intermediate_step_0047_0049_open_door.txt,intermediate_step_0047_0049_open_door.txt,47,49,open_door,3,left,0.895338,0.8
000835,87,intermediate,87/intermediate_step_0047_0049_open_door.txt,intermediate_step_0047_0049_open_door.txt,47,49,open_door,3,right,0.913517,0.9
000835,87,intermediate,87/intermediate_step_0047_0049_open_door.txt,intermediate_step_0047_0049_open_door.txt,47,49,open_door,3,forward,0.877521,0.78
000835,87,intermediate,87/intermediate_step_0047_0049_open_door.txt,intermediate_step_0047_0049_open_door.txt,47,49,open_door,3,pickup,0.904382,0.78
000835,87,intermediate,87/intermediate_step_0047_0049_open_door.txt,intermediate_step_0047_0049_open_door.txt,47,49,open_door,3,toggle,0.904382,0.78
000793,458,off_track,458/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,left,0.913517,0.85
000793,458,off_track,458/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,right,0.922745,0.88
000793,458,off_track,458/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,forward,0.913517,0.8
000793,458,off_track,458/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,pickup,0.913517,0.8
000793,458,off_track,458/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,toggle,0.913517,0.8
001549,805,transition,805/transition_step_0080_0082_reach_goal.txt,transition_step_0080_0082_reach_goal.txt,80,82,reach_goal,3,left,0.9801,0.85
001549,805,transition,805/transition_step_0080_0082_reach_goal.txt,transition_step_0080_0082_reach_goal.txt,80,82,reach_goal,3,right,0.9801,0.85
001549,805,transition,805/transition_step_0080_0082_reach_goal.txt,transition_step_0080_0082_reach_goal.txt,80,82,reach_goal,3,forward,1.0,1.0
001549,805,transition,805/transition_step_0080_0082_reach_goal.txt,transition_step_0080_0082_reach_goal.txt,80,82,reach_goal,3,pickup,0.99,0.85
001549,805,transition,805/transition_step_0080_0082_reach_goal.txt,transition_step_0080_0082_reach_goal.txt,80,82,reach_goal,3,toggle,0.99,0.85
001405,491,transition,491/transition_step_0026_0028_find_key.txt,transition_step_0026_0028_find_key.txt,26,28,find_key,3,left,0.886385,0.75
001405,491,transition,491/transition_step_0026_0028_find_key.txt,transition_step_0026_0028_find_key.txt,26,28,find_key,3,right,0.886385,0.7
001405,491,transition,491/transition_step_0026_0028_find_key.txt,transition_step_0026_0028_find_key.txt,26,28,find_key,3,forward,0.895338,0.8
001405,491,transition,491/transition_step_0026_0028_find_key.txt,transition_step_0026_0028_find_key.txt,26,28,find_key,3,pickup,0.904382,0.92
001405,491,transition,491/transition_step_0026_0028_find_key.txt,transition_step_0026_0028_find_key.txt,26,28,find_key,3,toggle,0.895338,0.7
000775,458,intermediate,458/intermediate_step_0016_0018_open_door.txt,intermediate_step_0016_0018_open_door.txt,16,18,open_door,3,left,0.922745,0.9
000775,458,intermediate,458/intermediate_step_0016_0018_open_door.txt,intermediate_step_0016_0018_open_door.txt,16,18,open_door,3,right,0.904382,0.2
000775,458,intermediate,458/intermediate_step_0016_0018_open_door.txt,intermediate_step_0016_0018_open_door.txt,16,18,open_door,3,forward,0.886385,0.5
000775,458,intermediate,458/intermediate_step_0016_0018_open_door.txt,intermediate_step_0016_0018_open_door.txt,16,18,open_door,3,pickup,0.913517,0.1
000775,458,intermediate,458/intermediate_step_0016_0018_open_door.txt,intermediate_step_0016_0018_open_door.txt,16,18,open_door,3,toggle,0.913517,0.3
001501,413,off_track,413/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,left,0.886385,0.5
001501,413,off_track,413/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,right,0.886385,0.1
001501,413,off_track,413/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,forward,0.868746,0.85
001501,413,off_track,413/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,pickup,0.877521,0.05
001501,413,off_track,413/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,toggle,0.877521,0.1
000373,700,transition,700/transition_step_0026_0028_open_door.txt,transition_step_0026_0028_open_door.txt,26,28,open_door,3,left,0.895338,0.1
000373,700,transition,700/transition_step_0026_0028_open_door.txt,transition_step_0026_0028_open_door.txt,26,28,open_door,3,right,0.895338,0.88
000373,700,transition,700/transition_step_0026_0028_open_door.txt,transition_step_0026_0028_open_door.txt,26,28,open_door,3,forward,0.904382,0.4
000373,700,transition,700/transition_step_0026_0028_open_door.txt,transition_step_0026_0028_open_door.txt,26,28,open_door,3,pickup,0.904382,0.05
000373,700,transition,700/transition_step_0026_0028_open_door.txt,transition_step_0026_0028_open_door.txt,26,28,open_door,3,toggle,0.913517,0.3
000283,106,off_track,106/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,left,0.932065,0.2
000283,106,off_track,106/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,right,0.922745,0.2
000283,106,off_track,106/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,forward,0.922745,0.7
000283,106,off_track,106/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,pickup,0.922745,0.05
000283,106,off_track,106/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,toggle,0.922745,0.1
000241,106,transition,106/transition_step_0004_0006_find_key.txt,transition_step_0004_0006_find_key.txt,4,6,find_key,3,left,0.868746,0.15
000241,106,transition,106/transition_step_0004_0006_find_key.txt,transition_step_0004_0006_find_key.txt,4,6,find_key,3,right,0.868746,0.92
000241,106,transition,106/transition_step_0004_0006_find_key.txt,transition_step_0004_0006_find_key.txt,4,6,find_key,3,forward,0.877521,0.05
000241,106,transition,106/transition_step_0004_0006_find_key.txt,transition_step_0004_0006_find_key.txt,4,6,find_key,3,pickup,0.886385,0.05
000241,106,transition,106/transition_step_0004_0006_find_key.txt,transition_step_0004_0006_find_key.txt,4,6,find_key,3,toggle,0.877521,0.1
000709,330,transition,330/transition_step_0011_0013_open_door.txt,transition_step_0011_0013_open_door.txt,11,13,open_door,3,left,0.913517,0.2
000709,330,transition,330/transition_step_0011_0013_open_door.txt,transition_step_0011_0013_open_door.txt,11,13,open_door,3,right,0.913517,0.2
000709,330,transition,330/transition_step_0011_0013_open_door.txt,transition_step_0011_0013_open_door.txt,11,13,open_door,3,forward,0.922745,0.9
000709,330,transition,330/transition_step_0011_0013_open_door.txt,transition_step_0011_0013_open_door.txt,11,13,open_door,3,pickup,0.922745,0.0
000709,330,transition,330/transition_step_0011_0013_open_door.txt,transition_step_0011_0013_open_door.txt,11,13,open_door,3,toggle,0.932065,0.7
000769,458,transition,458/transition_step_0019_0021_open_door.txt,transition_step_0019_0021_open_door.txt,19,21,open_door,3,left,0.913517,0.1
000769,458,transition,458/transition_step_0019_0021_open_door.txt,transition_step_0019_0021_open_door.txt,19,21,open_door,3,right,0.913517,0.85
000769,458,transition,458/transition_step_0019_0021_open_door.txt,transition_step_0019_0021_open_door.txt,19,21,open_door,3,forward,0.922745,0.2
000769,458,transition,458/transition_step_0019_0021_open_door.txt,transition_step_0019_0021_open_door.txt,19,21,open_door,3,pickup,0.922745,0.0
000769,458,transition,458/transition_step_0019_0021_open_door.txt,transition_step_0019_0021_open_door.txt,19,21,open_door,3,toggle,0.932065,0.6
000445,20,transition,20/transition_step_0275_0277_reach_goal.txt,transition_step_0275_0277_reach_goal.txt,275,277,reach_goal,3,left,0.9801,0.4
000445,20,transition,20/transition_step_0275_0277_reach_goal.txt,transition_step_0275_0277_reach_goal.txt,275,277,reach_goal,3,right,0.9801,0.4
000445,20,transition,20/transition_step_0275_0277_reach_goal.txt,transition_step_0275_0277_reach_goal.txt,275,277,reach_goal,3,forward,1.0,1.0
000445,20,transition,20/transition_step_0275_0277_reach_goal.txt,transition_step_0275_0277_reach_goal.txt,275,277,reach_goal,3,pickup,0.99,0.0
000445,20,transition,20/transition_step_0275_0277_reach_goal.txt,transition_step_0275_0277_reach_goal.txt,275,277,reach_goal,3,toggle,0.99,0.2
001033,871,off_track,871/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,left,0.913517,0.1
001033,871,off_track,871/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,right,0.922745,0.6
001033,871,off_track,871/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,forward,0.913517,0.1
001033,871,off_track,871/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,pickup,0.913517,0.0
001033,871,off_track,871/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,toggle,0.913517,0.3
001615,385,intermediate,385/intermediate_step_0181_0183_reach_goal.txt,intermediate_step_0181_0183_reach_goal.txt,181,183,reach_goal,3,left,0.95099,0.1
001615,385,intermediate,385/intermediate_step_0181_0183_reach_goal.txt,intermediate_step_0181_0183_reach_goal.txt,181,183,reach_goal,3,right,0.95099,0.8
001615,385,intermediate,385/intermediate_step_0181_0183_reach_goal.txt,intermediate_step_0181_0183_reach_goal.txt,181,183,reach_goal,3,forward,0.970299,0.3
001615,385,intermediate,385/intermediate_step_0181_0183_reach_goal.txt,intermediate_step_0181_0183_reach_goal.txt,181,183,reach_goal,3,pickup,0.960596,0.0
