id,seed,type,path,file,step_start,step_end,event,n_maps,v_value,v_llm
000030,860,intermediate,860/intermediate_step_0022_0024_reach_goal.txt,intermediate_step_0022_0024_reach_goal.txt,22,24,reach_goal,3,0.99,0.9801
000044,106,initial,106/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8345,0.8016
000198,663,transition,663/transition_step_0055_0057_reach_goal.txt,transition_step_0055_0057_reach_goal.txt,55,57,reach_goal,3,1.0,0.99
000164,372,intermediate,372/intermediate_step_0108_0110_find_key.txt,intermediate_step_0108_0110_find_key.txt,108,110,find_key,3,0.8953,0.9227
000019,435,intermediate,435/intermediate_step_0020_0022_reach_goal.txt,intermediate_step_0020_0022_reach_goal.txt,20,22,reach_goal,3,0.99,0.9801
000032,860,off_track,860/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.9135,0.9321
000100,121,transition,121/transition_step_0003_0005_find_key.txt,transition_step_0003_0005_find_key.txt,3,5,find_key,3,0.8864,0.8953
000208,130,intermediate,130/intermediate_step_0053_0055_open_door.txt,intermediate_step_0053_0055_open_door.txt,53,55,open_door,3,0.9415,0.951
000017,435,intermediate,435/intermediate_step_0013_0015_open_door.txt,intermediate_step_0013_0015_open_door.txt,13,15,open_door,3,0.9321,0.932
000159,87,off_track,87/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8864,0.913
000290,805,off_track,805/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.9703,0.941
000123,214,intermediate,214/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.8687,0.895
000082,20,intermediate,20/intermediate_step_0269_0271_open_door.txt,intermediate_step_0269_0271_open_door.txt,269,271,open_door,3,0.951,0.951
000261,491,intermediate,491/intermediate_step_0024_0026_find_key.txt,intermediate_step_0024_0026_find_key.txt,24,26,find_key,3,0.8864,0.904
000231,308,transition,308/transition_step_0079_0081_reach_goal.txt,transition_step_0079_0081_reach_goal.txt,79,81,reach_goal,3,1.0,0.9703
000060,71,intermediate,71/intermediate_step_0002_0004_open_door.txt,intermediate_step_0002_0004_open_door.txt,2,4,open_door,3,0.9227,0.9135
000083,20,transition,20/transition_step_0275_0277_reach_goal.txt,transition_step_0275_0277_reach_goal.txt,275,277,reach_goal,3,1.0,0.99
000026,860,intermediate,860/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.9135,0.9227
000212,130,off_track,130/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.9135,0.9227
000074,700,off_track,700/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8179,0.8345
000064,71,off_track,71/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8953,0.904
000128,330,initial,330/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8429,0.868
000202,663,off_track,663/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.9044,0.922
000141,458,transition,458/transition_step_0006_0008_find_key.txt,transition_step_0006_0008_find_key.txt,6,8,find_key,3,0.8864,0.904
000229,308,transition,308/transition_step_0068_0070_open_door.txt,transition_step_0068_0070_open_door.txt,68,70,open_door,3,0.9227,0.922
000007,102,transition,102/transition_step_0052_0054_reach_goal.txt,transition_step_0052_0054_reach_goal.txt,52,54,reach_goal,3,1.0,0.99
000314,955,intermediate,955/intermediate_step_0032_0034_find_key.txt,intermediate_step_0032_0034_find_key.txt,32,34,find_key,3,0.8429,0.86
000121,214,worst,214/worst_step_0001_find_key.txt,worst_step_0001_find_key.txt,1,1,find_key,1,0.8687,0.89
000054,106,off_track,106/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.951,0.88
000237,769,worst,769/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8262,0.84
000047,106,intermediate,106/intermediate_step_0002_0004_find_key.txt,intermediate_step_0002_0004_find_key.txt,2,4,find_key,3,0.8687,0.85
000312,955,worst,955/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8429,0.86
000046,106,transition,106/transition_step_0005_0007_find_key.txt,transition_step_0005_0007_find_key.txt,5,7,find_key,3,0.8953,0.886
000250,343,intermediate,343/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.8601,0.843
000300,385,off_track,385/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8864,0.851
000031,860,off_track,860/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8775,0.869
000033,860,off_track,860/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.9044,0.877
000036,270,transition,270/transition_step_0000_0001_find_key.txt,transition_step_0000_0001_find_key.txt,0,1,find_key,2,0.9135,0.895
000313,955,transition,955/transition_step_0035_0037_find_key.txt,transition_step_0035_0037_find_key.txt,35,37,find_key,3,0.8601,0.88638
000278,413,off_track,413/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.9044,0.91351
000167,372,transition,372/transition_step_0158_0160_reach_goal.txt,transition_step_0158_0160_reach_goal.txt,158,160,reach_goal,3,1.0,0.99
000292,385,worst,385/worst_step_0002_find_key.txt,worst_step_0002_find_key.txt,2,2,find_key,1,0.8687,0.89533
000179,99,intermediate,99/intermediate_step_0043_0045_reach_goal.txt,intermediate_step_0043_0045_reach_goal.txt,43,45,reach_goal,3,0.9801,0.96059
000176,99,transition,99/transition_step_0037_0039_open_door.txt,transition_step_0037_0039_open_door.txt,37,39,open_door,3,0.9321,0.97029
000265,491,intermediate,491/intermediate_step_0064_0066_reach_goal.txt,intermediate_step_0064_0066_reach_goal.txt,64,66,reach_goal,3,0.9801,0.9703
000105,121,intermediate,121/intermediate_step_0098_0100_reach_goal.txt,intermediate_step_0098_0100_reach_goal.txt,98,100,reach_goal,3,0.9801,0.951
000256,343,off_track,343/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8687,0.8953
000269,413,initial,413/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8601,0.8775
000303,191,worst,191/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8262,0.8515
000139,458,initial,458/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8262,0.8515
000055,71,initial,71/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8864,0.886
000259,491,worst,491/worst_step_0025_find_key.txt,worst_step_0025_find_key.txt,25,25,find_key,1,0.8775,0.851
000021,435,off_track,435/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8864,0.877
000205,130,transition,130/transition_step_0002_0004_find_key.txt,transition_step_0002_0004_find_key.txt,2,4,find_key,3,0.9044,0.877
000280,805,initial,805/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8515,0.851
000163,372,transition,372/transition_step_0111_0113_find_key.txt,transition_step_0111_0113_find_key.txt,111,113,find_key,3,0.9135,0.904
000268,491,off_track,491/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.8953,0.91
000042,270,off_track,270/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8953,0.86
000022,435,off_track,435/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.951,0.91
000175,99,intermediate,99/intermediate_step_0004_0006_find_key.txt,intermediate_step_0004_0006_find_key.txt,4,6,find_key,3,0.8601,0.86
000115,466,transition,466/transition_step_0111_0113_reach_goal.txt,transition_step_0111_0113_reach_goal.txt,111,113,reach_goal,3,1.0,0.99
000173,99,worst,99/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8179,0.85
000089,614,worst,614/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8601,0.868
000144,458,intermediate,458/intermediate_step_0017_0019_open_door.txt,intermediate_step_0017_0019_open_door.txt,17,19,open_door,3,0.9227,0.922
000052,106,off_track,106/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8429,0.851
000168,372,intermediate,372/intermediate_step_0156_0158_reach_goal.txt,intermediate_step_0156_0158_reach_goal.txt,156,158,reach_goal,3,0.9801,0.97
000150,87,initial,87/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8601,0.877
