id,seed,type,path,file,step_start,step_end,event,n_maps,v_value,v_llm
000278,413,off_track,413/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.9044,0.904
000074,700,off_track,700/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8179,0.77
000087,20,off_track,20/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.9415,0.933
000244,769,off_track,769/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8179,0.794
000216,661,transition,661/transition_step_0002_0004_find_key.txt,transition_step_0002_0004_find_key.txt,2,4,find_key,3,0.8775,0.877
000266,491,off_track,491/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.9044,0.886
000027,860,transition,860/transition_step_0020_0022_open_door.txt,transition_step_0020_0022_open_door.txt,20,22,open_door,3,0.9703,0.961
000058,71,intermediate,71/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.8953,0.0
000146,458,intermediate,458/intermediate_step_0026_0028_reach_goal.txt,intermediate_step_0026_0028_reach_goal.txt,26,28,reach_goal,3,0.9801,0.9801
000270,413,worst,413/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8601,0.851458
000245,769,off_track,769/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8775,0.868746
000203,130,initial,130/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8775,0.842943
000014,435,transition,435/transition_step_0006_0008_find_key.txt,transition_step_0006_0008_find_key.txt,6,8,find_key,3,0.8864,0.877521
000230,308,intermediate,308/intermediate_step_0065_0067_open_door.txt,intermediate_step_0065_0067_open_door.txt,65,67,open_door,3,0.9044,0.895338
000124,214,transition,214/transition_step_0049_0051_open_door.txt,transition_step_0049_0051_open_door.txt,49,51,open_door,3,0.9321,0.932065
000306,191,transition,191/transition_step_0044_0046_open_door.txt,transition_step_0044_0046_open_door.txt,44,46,open_door,3,0.9044,0.904382
000254,343,intermediate,343/intermediate_step_0205_0207_reach_goal.txt,intermediate_step_0205_0207_reach_goal.txt,205,207,reach_goal,3,0.99,0.9801
000100,121,transition,121/transition_step_0003_0005_find_key.txt,transition_step_0003_0005_find_key.txt,3,5,find_key,3,0.8864,0.8601
000023,860,initial,860/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.9044,0.8864
000283,805,intermediate,805/intermediate_step_0048_0050_find_key.txt,intermediate_step_0048_0050_find_key.txt,48,50,find_key,3,0.8775,0.8429
000054,106,off_track,106/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.951,0.9415
000065,71,off_track,71/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.951,0.9415
000250,343,intermediate,343/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.8601,0.8262
000070,700,transition,700/transition_step_0027_0029_open_door.txt,transition_step_0027_0029_open_door.txt,27,29,open_door,3,0.9227,0.9044
000196,663,transition,663/transition_step_0051_0053_open_door.txt,transition_step_0051_0053_open_door.txt,51,53,open_door,3,0.9606,0.907
000071,700,intermediate,700/intermediate_step_0024_0026_open_door.txt,intermediate_step_0024_0026_open_door.txt,24,26,open_door,3,0.9044,0.807
000281,805,worst,805/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8515,0.699
000176,99,transition,99/transition_step_0037_0039_open_door.txt,transition_step_0037_0039_open_door.txt,37,39,open_door,3,0.9321,0.856
000207,130,transition,130/transition_step_0056_0058_open_door.txt,transition_step_0056_0058_open_door.txt,56,58,open_door,3,0.9606,0.907
000049,106,intermediate,106/intermediate_step_0006_0008_open_door.txt,intermediate_step_0006_0008_open_door.txt,6,8,open_door,3,0.9044,0.807
000116,466,intermediate,466/intermediate_step_0109_0111_reach_goal.txt,intermediate_step_0109_0111_reach_goal.txt,109,111,reach_goal,3,0.99,0.962
000170,372,off_track,372/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.9135,0.823
000019,435,intermediate,435/intermediate_step_0020_0022_reach_goal.txt,intermediate_step_0020_0022_reach_goal.txt,20,22,reach_goal,3,0.99,0.99
000024,860,worst,860/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.9044,0.91
000045,106,worst,106/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8345,1.0
000291,385,initial,385/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8775,0.89
000213,130,off_track,130/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.8953,1.0
000155,87,intermediate,87/intermediate_step_0048_0050_open_door.txt,intermediate_step_0048_0050_open_door.txt,48,50,open_door,3,0.9227,0.93
000144,458,intermediate,458/intermediate_step_0017_0019_open_door.txt,intermediate_step_0017_0019_open_door.txt,17,19,open_door,3,0.9227,0.93
000163,372,transition,372/transition_step_0111_0113_find_key.txt,transition_step_0111_0113_find_key.txt,111,113,find_key,3,0.9135,0.94
000307,191,intermediate,191/intermediate_step_0041_0043_open_door.txt,intermediate_step_0041_0043_open_door.txt,41,43,open_door,3,0.8864,0.0
000111,466,transition,466/transition_step_0007_0009_find_key.txt,transition_step_0007_0009_find_key.txt,7,9,find_key,3,0.8953,0.8864
000217,661,intermediate,661/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.8515,0.8346
000079,20,transition,20/transition_step_0195_0197_find_key.txt,transition_step_0195_0197_find_key.txt,195,197,find_key,3,0.8864,0.8864
000161,372,initial,372/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8687,0.8688
000268,491,off_track,491/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.8953,0.8953
000275,413,transition,413/transition_step_0022_0024_reach_goal.txt,transition_step_0022_0024_reach_goal.txt,22,24,reach_goal,3,1.0,0.9801
000246,769,off_track,769/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.9044,0.9135
000002,102,worst,102/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8097,1.0
000252,343,intermediate,343/intermediate_step_0193_0195_open_door.txt,intermediate_step_0193_0195_open_door.txt,193,195,open_door,3,0.9135,0.0
000288,805,off_track,805/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8515,1.0
000083,20,transition,20/transition_step_0275_0277_reach_goal.txt,transition_step_0275_0277_reach_goal.txt,275,277,reach_goal,3,1.0,1.0
000239,769,intermediate,769/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.8345,1.0
000193,663,initial,663/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8687,1.0
000093,614,transition,614/transition_step_0058_0060_reach_goal.txt,transition_step_0058_0060_reach_goal.txt,58,60,reach_goal,3,1.0,1.0
000003,102,transition,102/transition_step_0005_0007_find_key.txt,transition_step_0005_0007_find_key.txt,5,7,find_key,3,0.8687,1.0
000109,466,initial,466/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8345,0.838
000300,385,off_track,385/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8864,0.901
000162,372,worst,372/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8687,0.919
000317,955,transition,955/transition_step_0099_0101_reach_goal.txt,transition_step_0099_0101_reach_goal.txt,99,101,reach_goal,3,1.0,0.991
000084,20,intermediate,20/intermediate_step_0273_0275_reach_goal.txt,intermediate_step_0273_0275_reach_goal.txt,273,275,reach_goal,3,0.9801,0.973
000113,466,transition,466/transition_step_0095_0097_open_door.txt,transition_step_0095_0097_open_door.txt,95,97,open_door,3,0.9227,0.919
000080,20,intermediate,20/intermediate_step_0192_0194_find_key.txt,intermediate_step_0192_0194_find_key.txt,192,194,find_key,3,0.8687,0.838
000184,871,worst,871/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8864,0.856
000316,955,intermediate,955/intermediate_step_0084_0086_open_door.txt,intermediate_step_0084_0086_open_door.txt,84,86,open_door,3,0.8775,0.869
000190,871,off_track,871/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8601,0.835
000292,385,worst,385/worst_step_0002_find_key.txt,worst_step_0002_find_key.txt,2,2,find_key,1,0.8687,0.86
000129,330,worst,330/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8429,0.826
000188,871,transition,871/transition_step_0015_0017_reach_goal.txt,transition_step_0015_0017_reach_goal.txt,15,17,reach_goal,3,1.0,0.99
000035,270,worst,270/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.9044,0.887
000078,20,worst,20/worst_step_0015_find_key.txt,worst_step_0015_find_key.txt,15,15,find_key,1,0.8429,0.852
000258,491,initial,491/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8864,0.896
000007,102,transition,102/transition_step_0052_0054_reach_goal.txt,transition_step_0052_0054_reach_goal.txt,52,54,reach_goal,3,1.0,0.99
000041,270,off_track,270/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8687,0.861
000261,491,intermediate,491/intermediate_step_0024_0026_find_key.txt,intermediate_step_0024_0026_find_key.txt,24,26,find_key,3,0.8864,0.873
000117,466,off_track,466/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8429,0.835
000077,20,initial,20/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8515,0.819
000214,661,initial,661/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8429,0.835
000036,270,transition,270/transition_step_0000_0001_find_key.txt,transition_step_0000_0001_find_key.txt,0,1,find_key,2,0.9135,0.904
000314,955,intermediate,955/intermediate_step_0032_0034_find_key.txt,intermediate_step_0032_0034_find_key.txt,32,34,find_key,3,0.8429,0.835
000218,661,transition,661/transition_step_0019_0021_open_door.txt,transition_step_0019_0021_open_door.txt,19,21,open_door,3,0.9321,0.0
000237,769,worst,769/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8262,0.0
000241,769,intermediate,769/intermediate_step_0019_0021_open_door.txt,intermediate_step_0019_0021_open_door.txt,19,21,open_door,3,0.8953,0.0
000180,99,off_track,99/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8179,0.0
000005,102,transition,102/transition_step_0040_0042_open_door.txt,transition_step_0040_0042_open_door.txt,40,42,open_door,3,0.9227,0.0
000067,700,worst,700/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8345,0.0
000221,661,intermediate,661/intermediate_step_0024_0026_reach_goal.txt,intermediate_step_0024_0026_reach_goal.txt,24,26,reach_goal,3,0.9801,1.0
000010,102,off_track,102/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8515,0.0
000197,663,intermediate,663/intermediate_step_0048_0050_open_door.txt,intermediate_step_0048_0050_open_door.txt,48,50,open_door,3,0.9415,0.92
000262,491,transition,491/transition_step_0060_0062_open_door.txt,transition_step_0060_0062_open_door.txt,60,62,open_door,3,0.9415,0.92
000200,663,off_track,663/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8262,0.75
000303,191,worst,191/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8262,0.74
000105,121,intermediate,121/intermediate_step_0098_0100_reach_goal.txt,intermediate_step_0098_0100_reach_goal.txt,98,100,reach_goal,3,0.9801,0.96
000206,130,intermediate,130/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.8775,0.83
000156,87,transition,87/transition_step_0056_0058_reach_goal.txt,transition_step_0056_0058_reach_goal.txt,56,58,reach_goal,3,1.0,0.99
000168,372,intermediate,372/intermediate_step_0156_0158_reach_goal.txt,intermediate_step_0156_0158_reach_goal.txt,156,158,reach_goal,3,0.9801,0.96
000123,214,intermediate,214/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.8687,0.92
000177,99,intermediate,99/intermediate_step_0034_0036_open_door.txt,intermediate_step_0034_0036_open_door.txt,34,36,open_door,3,0.9135,0.0
